cluster_number,cluster_id,cluster_name,product_group,products,link,image
5,2,NBA & WWE,Sports Apparel and Merchandise,WWE Championship Belt Replica,https://shop.wwe.com/en/title-belts/d-1206674874+z-996981-3123630157,https://images.footballfanatics.com/jey-uso/jey-uso-replica-side-plate-box-set_ss5_p-200761457+u-wawrfsrlccgarsycm49d+v-cxqbg3vghzbf7ak5cgad.jpg?_hv=2&w=340
5,2,NBA & WWE,Sports Apparel and Merchandise,"Kobe Bryant ""Mamba Forever"" Hoodie",https://stockx.com/nike-kobe-bryant-mamba-hoodie-black?msockid=297aa8aeecfe680f1fe3bcd6ed986912,https://images.stockx.com/images/vertical/Nike-Kobe-Bryant-Mamba-Hoodie-Black_1.jpg?fit=fill&bg=FFFFFF&w=396&h=504&auto=compress&dpr=1&fm=avif&q=57
5,2,NBA & WWE,Sports and Entertainment Collectibles,LeBron James Funko Pop! Figure,https://funko.com/pop-lebron-james/56356.html,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwda426b28/images/funko/56356-1.png?sw=800&sh=800
5,2,NBA & WWE,Sports and Entertainment Collectibles,WWE Action Figures,https://shop.mattel.com/collections/wwe,"https://images.mattel.net/image/upload/w_360,h_360,c_pad/shop-us-prod/products/q3jwq2q75ujbjr4mauqn.jpg?v=1707934813"
5,2,NBA & WWE,Sports and Entertainment Collectibles,NBA Signed Basketballs,https://www.sportsmemorabilia.com/nba-memorabilia/fanatics-authentic-basketballs-signed/o-3558+br-918049+d-18337779+fa-67+z-9-11061757,https://www.sportsmemorabilia.com/nba-memorabilia/boston-celtics/larry-bird-boston-celtics-autographed-wilson-authentic-series-indoor/outdoor-basketball/o-1314+t-14362719+p-5089178801+z-8-960680242?_ref=p-FALP:m-GRID:i-r0c0:po-0
5,2,NBA & WWE,Video Games and Streaming,NBA 2K24,https://store.steampowered.com/app/2338770/NBA_2K24/,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2338770/header.jpg?t=1723216182
5,2,NBA & WWE,Video Games and Streaming,WWE 2K24,https://www.xbox.com/en-US/games/store/wwe-2k24-for-xbox-series-xs/9NQSBF2V7XRR?msockid=297aa8aeecfe680f1fe3bcd6ed986912,https://store-images.s-microsoft.com/image/apps.49977.13763646345579078.49808769-6c36-4e7b-9bcb-c1cb6ee75bd8.96fe01b5-7d56-4d1b-9110-33bab7eadb4c?q=90&w=177&h=265
5,2,NBA & WWE,Video Games and Streaming,WWE Network Subscription,https://www.wwe.com/wwenetwork,https://www.a.peacocktv.com/dam/growth/assets/sportslandingpages/wwe/wwe-badblood-hero-2024-01.jpg?downsize=200:*&output-format=webp&output-quality=19
5,3,Music: Pop-Rock & EDM,Albums and Music Streaming,"Taylor Swift ""Midnights"" Album",https://www.amazon.com/s?k=Taylor+Swift+%22Midnights%22+Album&crid=14D7MVFZOJAXB&sprefix=taylor+swift+midnights+album%2Caps%2C771&ref=nb_sb_noss_1,https://m.media-amazon.com/images/I/71-wkZnha6L._AC_UY327_FMwebp_QL65_.jpg
5,3,Music: Pop-Rock & EDM,Albums and Music Streaming,"BLACKPINK ""The Album""",https://www.amazon.com/s?k=BLACKPINK+%22The+Album%22&crid=2NYHGF424FIA7&sprefix=blackpink+the+album+%2Caps%2C503&ref=nb_sb_noss_2,https://m.media-amazon.com/images/I/41IF1e95wrL._AC_UY327_FMwebp_QL65_.jpg
5,3,Music: Pop-Rock & EDM,Albums and Music Streaming,"Martin Garrix ""Sentio"" Album",https://music.apple.com/us/album/sentio/1621522781,https://is1-ssl.mzstatic.com/image/thumb/Video126/v4/bd/83/b0/bd83b0e2-7059-d50d-62de-51807cd952ce/Job3d668a25-a7ab-4231-9d2b-454d4cb528af-131718101-PreviewImage_preview_image_nonvideo_sdr-Time1652224780683.png/316x316bb.webp
5,3,Music: Pop-Rock & EDM,Concerts and Tours,"Taylor Swift ""Eras Tour"" Tickets",https://www.ticketmaster.com/taylor-swift-tickets/artist/1094215?msockid=297aa8aeecfe680f1fe3bcd6ed986912,https://s1.ticketm.net/dam/a/451/fc7b3533-8fde-4d26-b832-8a7e97d5f451_RETINA_PORTRAIT_3_2.jpg
5,3,Music: Pop-Rock & EDM,Concerts and Tours,Martin Garrix Live in Ibiza,https://www.theushuaiaexperience.com/en/club/events/martin-garrix,https://images.thenightleague.com/cms/containers/assets/2024/2024_garrix/2024_ushuaia_martingarrix_launch_square-1080x1080px.jpg/402ec3b99c65680dee35d2b8442b28a6/2024_ushuaia_martingarrix_launch_square-1080x1080px.webp
